Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDM57,OUT018,1716.213779
FDA58,OUT017,3845.930347
FDK56,OUT046,2785.659303
FDP52,OUT045,3845.930347
FDW20,OUT018,1716.213779
FDS52,OUT049,1716.213779
NCT29,OUT018,1716.213779
NCL54,OUT013,2785.659303
FDC05,OUT045,2785.659303
FDF34,OUT035,2785.659303
FDP03,OUT027,2846.400823
FDD32,OUT010,207.1305035
FDZ10,OUT045,1716.213779
FDZ40,OUT035,858.3665937
FDD51,OUT018,858.3665937
NCY30,OUT019,471.3068467
FDP58,OUT017,3845.930347
FDV49,OUT017,3845.930347
FDY24,OUT019,207.1305035
NCO55,OUT017,1716.213779
FDR13,OUT017,1716.213779
FDS51,OUT017,858.3665937
FDP26,OUT045,1716.213779
NCB54,OUT027,2846.400823
FDF32,OUT017,2785.659303
FDN31,OUT018,2785.659303
DRM48,OUT017,858.3665937
FDN20,OUT049,2785.659303
DRL01,OUT046,3845.930347
FDV56,OUT049,1716.213779
DRH13,OUT027,2846.400823
FDA03,OUT017,2785.659303
FDF47,OUT027,5669.163351
FDX32,OUT046,2785.659303
FDX57,OUT049,1716.213779
NCA30,OUT045,2785.659303
FDO49,OUT013,858.3665937
FDL04,OUT019,207.1305035
DRM48,OUT035,858.3665937
FDR16,OUT013,3845.930347
NCC19,OUT018,2785.659303
NCE42,OUT045,3845.930347
FDY24,OUT017,858.3665937
FDH19,OUT049,2785.659303
FDJ46,OUT013,2785.659303
FDN45,OUT010,471.3068467
FDY08,OUT035,1716.213779
FDZ37,OUT035,1716.213779
NCT30,OUT045,858.3665937
DRY23,OUT018,858.3665937
NCZ30,OUT018,1716.213779
FDC44,OUT018,1716.213779
FDB45,OUT035,1716.213779
FDY04,OUT013,2785.659303
FDM27,OUT046,2785.659303
FDZ43,OUT017,3845.930347
FDT39,OUT019,471.3068467
NCC06,OUT019,207.1305035
FDL15,OUT027,4117.317713
FDL57,OUT017,3845.930347
FDU08,OUT046,1716.213779
FDK40,OUT017,3845.930347
FDQ12,OUT010,471.3068467
FDS48,OUT017,2785.659303
FDP09,OUT045,3845.930347
FDW21,OUT049,1716.213779
FDY25,OUT035,2785.659303
DRE13,OUT017,1716.213779
FDV43,OUT019,207.1305035
FDD22,OUT045,1716.213779
FDM46,OUT019,207.1305035
NCO30,OUT010,471.3068467
FDM25,OUT046,2785.659303
NCN41,OUT049,1716.213779
FDU24,OUT045,1716.213779
FDZ50,OUT046,2785.659303
FDP45,OUT013,3845.930347
NCM54,OUT045,1716.213779
FDW10,OUT019,471.3068467
FDP20,OUT017,1716.213779
FDK32,OUT046,2785.659303
FDN52,OUT049,1716.213779
FDM58,OUT045,1716.213779
FDZ46,OUT027,2846.400823
NCA18,OUT018,1716.213779
FDD35,OUT046,1716.213779
NCK31,OUT035,858.3665937
FDI40,OUT027,2846.400823
FDT50,OUT019,207.1305035
NCT06,OUT046,2785.659303
FDT31,OUT035,2785.659303
FDT45,OUT049,858.3665937
FDT13,OUT045,2785.659303
FDO50,OUT045,1716.213779
NCU18,OUT010,207.1305035
NCR54,OUT049,2785.659303
NCO18,OUT018,2785.659303
FDU09,OUT045,858.3665937
FDT13,OUT018,2785.659303
FDE09,OUT046,1716.213779
NCK53,OUT019,207.1305035
FDG45,OUT049,3845.930347
DRH15,OUT035,858.3665937
FDO21,OUT019,471.3068467
FDD14,OUT027,5669.163351
FDC09,OUT046,1716.213779
FDH45,OUT027,858.3665937
FDV32,OUT046,858.3665937
FDG12,OUT035,1716.213779
FDS32,OUT013,1716.213779
NCL55,OUT018,3845.930347
DRE01,OUT035,3845.930347
DRE15,OUT049,1716.213779
NCL42,OUT045,3845.930347
FDP31,OUT013,858.3665937
FDN33,OUT018,1716.213779
FDZ59,OUT046,2785.659303
FDE45,OUT010,471.3068467
FDJ07,OUT013,1716.213779
FDQ45,OUT018,2785.659303
FDM33,OUT027,5669.163351
FDO15,OUT010,207.1305035
FDM46,OUT013,1716.213779
FDR03,OUT045,3845.930347
FDY49,OUT018,2785.659303
FDQ60,OUT045,1716.213779
FDW10,OUT049,2785.659303
FDO51,OUT049,858.3665937
FDJ40,OUT018,1716.213779
FDS20,OUT018,2785.659303
FDU45,OUT013,1716.213779
FDV02,OUT035,2785.659303
FDN09,OUT046,3845.930347
NCM55,OUT027,5669.163351
FDN23,OUT018,2785.659303
FDY31,OUT010,471.3068467
FDW03,OUT010,207.1305035
FDD14,OUT046,2785.659303
FDV23,OUT017,1716.213779
DRI03,OUT045,2785.659303
FDN13,OUT035,1716.213779
FDF45,OUT027,858.3665937
FDU46,OUT035,1716.213779
FDB57,OUT049,3845.930347
FDV12,OUT049,1716.213779
FDQ58,OUT013,2785.659303
NCA18,OUT017,1716.213779
FDH52,OUT049,858.3665937
FDM24,OUT018,2785.659303
NCP43,OUT027,5669.163351
NCO18,OUT019,471.3068467
FDM32,OUT017,1716.213779
NCL07,OUT017,858.3665937
FDK03,OUT013,3845.930347
FDP59,OUT017,1716.213779
FDQ24,OUT049,3845.930347
FDQ16,OUT018,1716.213779
FDU44,OUT013,2785.659303
FDH28,OUT010,207.1305035
FDV28,OUT019,207.1305035
FDM22,OUT045,858.3665937
FDR56,OUT046,2785.659303
FDV39,OUT049,2785.659303
FDU37,OUT019,207.1305035
FDQ11,OUT010,471.3068467
FDX02,OUT045,3845.930347
NCS42,OUT018,1716.213779
FDY57,OUT027,2846.400823
FDB21,OUT049,3845.930347
FDE28,OUT017,3845.930347
FDQ55,OUT017,1716.213779
FDA48,OUT049,3845.930347
FDZ19,OUT045,2785.659303
NCC43,OUT045,3845.930347
NCV18,OUT046,1716.213779
NCA42,OUT018,2785.659303
FDY45,OUT046,3845.930347
NCC30,OUT045,2785.659303
FDM57,OUT013,1716.213779
FDL09,OUT010,471.3068467
FDB09,OUT027,2846.400823
FDT44,OUT035,1716.213779
NCT06,OUT027,4117.317713
FDX26,OUT049,2785.659303
FDK32,OUT013,2785.659303
DRA12,OUT046,1716.213779
FDO46,OUT010,471.3068467
FDE52,OUT013,1716.213779
NCH42,OUT045,3845.930347
FDV08,OUT035,858.3665937
FDB47,OUT018,3845.930347
FDC28,OUT010,207.1305035
FDD22,OUT046,1716.213779
FDS07,OUT027,2846.400823
DRI13,OUT045,3845.930347
FDG32,OUT018,3845.930347
FDU14,OUT017,3845.930347
FDD28,OUT019,207.1305035
NCP41,OUT017,1716.213779
FDS08,OUT049,2785.659303
FDX47,OUT045,2785.659303
FDC53,OUT019,207.1305035
FDQ19,OUT035,3845.930347
FDL14,OUT045,2785.659303
FDM33,OUT019,471.3068467
FDA51,OUT045,1716.213779
FDZ27,OUT018,858.3665937
FDT04,OUT046,858.3665937
DRC13,OUT049,1716.213779
FDR16,OUT027,5669.163351
FDQ03,OUT027,5669.163351
FDE38,OUT035,2785.659303
DRH23,OUT027,858.3665937
FDT11,OUT019,471.3068467
FDD09,OUT035,2785.659303
FDR40,OUT045,1716.213779
FDX07,OUT017,2785.659303
FDR07,OUT035,1716.213779
FDA51,OUT017,1716.213779
FDT59,OUT019,471.3068467
FDF20,OUT017,2785.659303
FDR13,OUT045,1716.213779
FDY26,OUT049,3845.930347
FDW04,OUT017,1716.213779
FDK52,OUT017,3845.930347
FDN60,OUT049,2785.659303
FDM09,OUT019,471.3068467
FDP46,OUT049,1716.213779
FDB50,OUT019,207.1305035
NCQ29,OUT049,3845.930347
FDP16,OUT027,5669.163351
FDX33,OUT018,2785.659303
FDP07,OUT010,471.3068467
FDN22,OUT046,3845.930347
FDF39,OUT049,3845.930347
FDS21,OUT017,858.3665937
NCM42,OUT013,1716.213779
FDK50,OUT019,471.3068467
DRF13,OUT027,4117.317713
FDH35,OUT018,2785.659303
FDP60,OUT018,1716.213779
DRJ49,OUT027,2846.400823
NCT42,OUT019,471.3068467
FDE38,OUT049,2785.659303
FDI04,OUT049,2785.659303
NCH54,OUT045,2785.659303
FDT56,OUT049,858.3665937
DRD15,OUT018,3845.930347
FDV58,OUT013,2785.659303
FDP21,OUT049,2785.659303
FDH05,OUT013,3845.930347
FDR10,OUT027,4117.317713
NCP06,OUT045,2785.659303
FDF33,OUT049,1716.213779
DRK37,OUT013,2785.659303
DRH49,OUT045,1716.213779
FDT58,OUT013,2785.659303
FDD41,OUT018,1716.213779
FDP40,OUT018,1716.213779
FDM51,OUT027,2846.400823
FDO45,OUT010,207.1305035
FDW33,OUT010,207.1305035
FDY24,OUT045,858.3665937
FDB10,OUT010,471.3068467
FDM40,OUT035,1716.213779
NCI06,OUT017,2785.659303
FDW12,OUT019,471.3068467
FDX48,OUT027,4117.317713
NCW05,OUT027,2846.400823
FDX27,OUT017,1716.213779
DRM37,OUT045,2785.659303
FDA38,OUT045,3845.930347
FDR36,OUT046,858.3665937
FDZ45,OUT046,2785.659303
FDG05,OUT017,2785.659303
FDK28,OUT013,3845.930347
FDV47,OUT045,1716.213779
FDN21,OUT045,2785.659303
FDP20,OUT027,2846.400823
FDI35,OUT045,2785.659303
DRY23,OUT013,858.3665937
FDA56,OUT017,1716.213779
FDB09,OUT013,1716.213779
NCO26,OUT027,2846.400823
FDQ49,OUT018,2785.659303
FDI52,OUT027,2846.400823
FDZ44,OUT027,2846.400823
FDZ09,OUT018,2785.659303
FDY03,OUT049,1716.213779
NCG42,OUT017,1716.213779
DRI13,OUT027,5669.163351
FDQ32,OUT013,1716.213779
FDW16,OUT035,1716.213779
FDU27,OUT046,858.3665937
FDR28,OUT010,471.3068467
FDQ49,OUT010,471.3068467
FDS37,OUT046,1716.213779
FDW26,OUT018,3845.930347
FDX12,OUT018,3845.930347
NCP06,OUT013,2785.659303
FDW45,OUT010,471.3068467
NCN30,OUT049,1716.213779
FDN24,OUT049,858.3665937
NCL41,OUT027,858.3665937
FDR02,OUT019,207.1305035
FDD09,OUT010,471.3068467
FDS33,OUT010,207.1305035
FDU22,OUT045,1716.213779
FDI53,OUT013,2785.659303
DRH01,OUT049,2785.659303
FDX32,OUT013,1716.213779
NCP30,OUT018,858.3665937
FDB60,OUT045,2785.659303
FDB14,OUT049,1716.213779
NCP02,OUT035,858.3665937
FDJ10,OUT017,1716.213779
FDG34,OUT046,1716.213779
NCB18,OUT017,1716.213779
FDM16,OUT049,858.3665937
FDW25,OUT018,1716.213779
FDB35,OUT010,207.1305035
DRN11,OUT013,1716.213779
FDF41,OUT019,471.3068467
FDH16,OUT045,1716.213779
NCQ50,OUT018,3845.930347
DRH23,OUT018,858.3665937
DRJ37,OUT013,2785.659303
DRJ24,OUT027,5669.163351
FDY16,OUT035,2785.659303
FDQ27,OUT045,1716.213779
FDZ33,OUT045,2785.659303
FDF29,OUT045,1716.213779
FDA08,OUT049,2785.659303
FDG31,OUT046,858.3665937
FDE34,OUT019,471.3068467
NCR30,OUT027,858.3665937
FDV33,OUT035,3845.930347
DRZ24,OUT018,1716.213779
NCL54,OUT035,2785.659303
FDR12,OUT049,2785.659303
NCC54,OUT046,3845.930347
DRN59,OUT013,858.3665937
FDX50,OUT019,207.1305035
FDV31,OUT027,5669.163351
NCA29,OUT027,4117.317713
FDW60,OUT049,2785.659303
FDX08,OUT017,2785.659303
DRD49,OUT013,3845.930347
FDD33,OUT046,3845.930347
FDW35,OUT013,858.3665937
FDJ36,OUT017,1716.213779
FDV51,OUT035,2785.659303
FDW36,OUT046,1716.213779
FDH35,OUT046,2785.659303
NCS30,OUT027,2846.400823
FDN49,OUT017,858.3665937
FDL08,OUT018,3845.930347
FDI09,OUT013,3845.930347
FDP19,OUT018,1716.213779
FDU21,OUT010,207.1305035
NCP41,OUT045,1716.213779
FDY10,OUT013,1716.213779
FDP12,OUT018,858.3665937
NCN26,OUT049,1716.213779
FDK44,OUT013,2785.659303
FDC28,OUT049,1716.213779
FDJ41,OUT027,5669.163351
NCT29,OUT035,1716.213779
NCH42,OUT019,471.3068467
FDU60,OUT018,2785.659303
FDS02,OUT045,2785.659303
FDC51,OUT046,1716.213779
FDU03,OUT013,2785.659303
FDX39,OUT045,3845.930347
NCY05,OUT010,207.1305035
NCL06,OUT027,5669.163351
FDD32,OUT035,1716.213779
NCN41,OUT045,1716.213779
NCX53,OUT049,1716.213779
FDU57,OUT019,471.3068467
FDQ23,OUT046,1716.213779
FDQ52,OUT045,3845.930347
FDC14,OUT045,858.3665937
FDY09,OUT035,2785.659303
FDQ28,OUT045,2785.659303
FDV25,OUT046,3845.930347
FDJ07,OUT035,1716.213779
DRB25,OUT049,1716.213779
FDK52,OUT019,471.3068467
FDY52,OUT027,858.3665937
FDB28,OUT046,2785.659303
FDT36,OUT035,858.3665937
FDV25,OUT017,3845.930347
NCN07,OUT027,2846.400823
FDC57,OUT017,2785.659303
FDQ03,OUT018,3845.930347
FDU23,OUT017,2785.659303
NCX41,OUT035,3845.930347
NCD06,OUT035,858.3665937
FDW08,OUT045,1716.213779
NCU29,OUT017,2785.659303
NCE06,OUT013,2785.659303
FDV52,OUT010,207.1305035
FDB02,OUT017,2785.659303
NCR18,OUT045,858.3665937
FDK16,OUT049,1716.213779
NCQ29,OUT010,471.3068467
FDZ01,OUT019,207.1305035
FDW27,OUT035,2785.659303
FDD17,OUT018,3845.930347
FDW39,OUT013,2785.659303
DRH59,OUT045,858.3665937
FDS52,OUT013,1716.213779
FDU40,OUT027,5669.163351
NCF54,OUT013,2785.659303
FDH46,OUT045,1716.213779
NCP14,OUT049,1716.213779
FDH50,OUT049,2785.659303
DRF15,OUT010,471.3068467
FDV27,OUT027,2846.400823
NCJ06,OUT049,1716.213779
FDN02,OUT018,3845.930347
FDQ51,OUT049,858.3665937
FDQ07,OUT017,3845.930347
FDS45,OUT049,1716.213779
NCJ06,OUT045,1716.213779
FDD36,OUT035,1716.213779
FDY25,OUT045,2785.659303
FDU52,OUT046,2785.659303
DRK47,OUT017,3845.930347
NCL30,OUT017,1716.213779
FDN22,OUT035,3845.930347
NCF30,OUT027,2846.400823
FDK03,OUT035,3845.930347
FDT45,OUT017,858.3665937
NCC54,OUT027,5669.163351
FDP08,OUT018,2785.659303
FDU44,OUT046,2785.659303
DRG39,OUT035,858.3665937
FDU32,OUT049,1716.213779
FDY27,OUT049,2785.659303
NCP54,OUT013,1716.213779
NCZ41,OUT049,1716.213779
DRL49,OUT013,1716.213779
FDI05,OUT018,1716.213779
FDY56,OUT045,3845.930347
DRC13,OUT013,1716.213779
NCV29,OUT017,2785.659303
FDR24,OUT049,1716.213779
FDZ34,OUT018,2785.659303
FDP37,OUT035,1716.213779
FDX08,OUT027,5669.163351
FDS57,OUT045,1716.213779
NCG18,OUT049,1716.213779
FDK25,OUT018,2785.659303
FDH53,OUT049,1716.213779
DRI59,OUT018,3845.930347
FDA52,OUT046,2785.659303
FDT20,OUT010,207.1305035
FDE36,OUT019,471.3068467
FDI24,OUT017,2785.659303
FDB28,OUT018,2785.659303
FDV11,OUT017,2785.659303
FDP01,OUT046,2785.659303
FDD34,OUT027,4117.317713
FDJ50,OUT027,858.3665937
FDZ44,OUT013,1716.213779
DRO59,OUT035,858.3665937
DRB48,OUT045,858.3665937
FDR21,OUT018,2785.659303
NCE42,OUT010,471.3068467
FDO23,OUT046,1716.213779
NCE30,OUT018,3845.930347
FDQ22,OUT035,858.3665937
FDY01,OUT045,1716.213779
FDS08,OUT017,2785.659303
FDG28,OUT018,3845.930347
FDQ51,OUT018,858.3665937
FDB05,OUT017,3845.930347
FDO56,OUT049,1716.213779
FDE02,OUT018,1716.213779
FDN45,OUT017,3845.930347
FDS09,OUT013,858.3665937
NCA54,OUT018,2785.659303
FDP09,OUT010,471.3068467
FDC53,OUT045,1716.213779
NCM55,OUT017,2785.659303
FDL09,OUT018,2785.659303
FDA11,OUT019,207.1305035
FDA50,OUT045,1716.213779
FDC23,OUT017,2785.659303
FDE22,OUT049,2785.659303
FDD23,OUT046,2785.659303
NCA29,OUT049,2785.659303
FDK38,OUT046,2785.659303
DRC13,OUT046,1716.213779
NCP43,OUT049,2785.659303
FDX28,OUT049,1716.213779
FDF08,OUT049,1716.213779
FDZ33,OUT046,2785.659303
FDD10,OUT049,2785.659303
FDO58,OUT017,2785.659303
FDI50,OUT017,3845.930347
FDO58,OUT045,2785.659303
FDX08,OUT013,2785.659303
NCK17,OUT010,207.1305035
FDF39,OUT035,3845.930347
FDU45,OUT010,207.1305035
NCJ18,OUT018,1716.213779
DRC27,OUT019,471.3068467
DRC25,OUT035,1716.213779
FDU59,OUT035,2785.659303
FDU28,OUT035,2785.659303
NCP30,OUT046,858.3665937
FDB39,OUT018,858.3665937
FDE41,OUT013,1716.213779
DRH11,OUT010,207.1305035
FDA58,OUT045,3845.930347
FDU50,OUT046,1716.213779
FDM34,OUT013,1716.213779
FDM44,OUT027,2846.400823
FDR39,OUT045,2785.659303
FDM25,OUT045,2785.659303
FDQ49,OUT049,2785.659303
DRH25,OUT018,858.3665937
FDM09,OUT027,4117.317713
FDL44,OUT019,471.3068467
NCR42,OUT018,858.3665937
DRL59,OUT046,858.3665937
FDX43,OUT013,2785.659303
DRK47,OUT010,471.3068467
FDU48,OUT018,1716.213779
FDY12,OUT045,858.3665937
NCN43,OUT018,1716.213779
NCM55,OUT018,2785.659303
FDQ21,OUT027,2846.400823
FDX13,OUT035,3845.930347
NCK30,OUT027,5669.163351
FDG20,OUT049,2785.659303
DRG27,OUT017,858.3665937
FDY14,OUT018,3845.930347
FDP59,OUT035,1716.213779
FDU60,OUT017,2785.659303
NCC18,OUT019,471.3068467
DRJ39,OUT017,3845.930347
FDS07,OUT049,1716.213779
FDM08,OUT027,5669.163351
FDP51,OUT045,1716.213779
FDU16,OUT035,1716.213779
FDH12,OUT013,1716.213779
